0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
86ºÅ,0,0,3.01,1,1,0,0,0,0,0,2,18,24,0
87ºÅ,0,0,4.94,1,1,0,0,0,0,0,2,10,0,0
88ºÅ,0,0,134.7,0,1,0,0,0,0,2,40,168,0,2
89ºÅ,0,0,18,1,1,1,0,0,0,1,6,36,48,1
90ºÅ,1,0,12.64,0,1,0,0,0,0,1,12,70,0,1
91ºÅ,0,1,12.92,1,1,0,0,0,0,0,3,36,36,0
92ºÅ,1,0,0.75,1,1,0,0,0,0,0,2,5,5,0
93ºÅ,0,1,5.68,1,1,0,0,0,0,0,2,24,24,0
94ºÅ,0,0,6.44,0,1,0,0,0,0,1,10,30,0,1
95ºÅ,0,0,14.85,0,1,0,0,0,0,1,5,60,0,1
96ºÅ,0,0,8.8,1,1,0,0,0,0,0,3,36,36,0
97ºÅ,0,0,4.17,1,1,0,0,0,0,0,2,12,12,0
98ºÅ,0,0,9.99,1,1,0,0,0,0,1,5,60,0,1
99ºÅ,0,1,13.2,1,1,0,0,0,0,0,3,36,36,0
100ºÅ,0,0,23.17,0.26,1,0,0,0,0,1,6,66,0,1
101ºÅ,0,0,6,1,1,0,0,0,0,0,2,30,36,0
102ºÅ,1,0,1.05,1,1,0,0,0,0,0,2,10,12,0
103ºÅ,0,1,11,1,1,0,0,0,0,0,3,18,24,0
104ºÅ,0,1,22.7,0,1,0,0,0,0,1,20,72,0,2
105ºÅ,0,1,6.51,1,1,0,0,0,0,0,2,18,18,0
106ºÅ,0,0,6,1,1,0,0,0,0,0,2,18,24,0
107ºÅ,1,0,1.45,1,1,0,0,0,0,0,2,8,12,0
108ºÅ,0,0,19,0.28,1,0,0,0,0,1,5,66,0,1
109ºÅ,0,0,3.21,1,1,0,0,0,0,0,2,12,12,0
110ºÅ,0,0,31.82,0,1,0,0,0,0,1,5,60,0,1
111ºÅ,0,1,9.88,0,1,0,0,0,0,0,2,36,0,0
112ºÅ,0,0,52.77,0,0,1,0,0,0,1,9,110,0,1
113ºÅ,0,0,35.68,0,1,1,0,0,0,1,25,70,0,2
114ºÅ,0,0,4.14,1,1,0,0,0,0,0,2,12,24,0
115ºÅ,1,0,1.49,0,1,1,0,0,0,0,2,18,0,0
116ºÅ,1,0,2.01,1,1,0,0,0,0,0,2,8,12,0
117ºÅ,0,0,16.05,0,1,0,0,0,0,1,5,66,0,1
118ºÅ,0,1,1.6,1,1,0,0,0,0,0,2,8,0,0
119ºÅ,0,0,12.44,0,1,0,0,0,0,0,5,66,0,1
120ºÅ,0,1,2.92,1,1,0,0,0,0,0,0,0,0,0
121ºÅ,0,0,5.29,0,1,0,0,0,0,0,2,24,0,0
122ºÅ,0,0,24.42,1,0,0,0,0,0,1,10,60,0,1
123ºÅ,0,1,4.9,1,1,0,0,0,0,0,3,18,18,0
124ºÅ,0,1,0.96,1,1,0,0,0,0,0,2,3,3,0
125ºÅ,0,0,3.29,1,1,1,0,0,0,0,2.5,9,0,0
126ºÅ,0,1,1.6,0,1,0,0,0,0,0,3,8,0,0
127ºÅ,0,0,8.68,1,1,0,0,0,0,0,4,30,42,0
128ºÅ,0,0,20.21,0,1,0,0,0,0,1,8,66,0,1
129ºÅ,0,0,1.44,1,1,0,0,0,0,0,2,3,3,0
130ºÅ,0,0,4.17,1,1,0,0,0,0,0,2,8,0,0
131ºÅ,0,0,5.4,1,1,0,0,0,0,0,3,12,12,0
132ºÅ,0,1,3.27,0,1,0,0,0,0,0,3,12,0,0
133ºÅ,0,1,10.46,1,1,0,0,0,0,1,5,36,48,0
134ºÅ,0,1,31.74,1,1,0,0,0,0,1,6,36,54,1
135ºÅ,0,0,1.22,1,1,0,0,0,0,0,2,6,12,0
